id	stateid	county	state	rate
1001	1	Autauga	Alabama	0.097
1003	1	Baldwin	Alabama	0.091
1005	1	Barbour	Alabama	0.134
1007	1	Bibb	Alabama	0.121
1009	1	Blount	Alabama	0.099
1011	1	Bullock	Alabama	0.164
1013	1	Butler	Alabama	0.167
1015	1	Calhoun	Alabama	0.108
1017	1	Chambers	Alabama	0.186
1019	1	Cherokee	Alabama	0.118
1021	1	Chilton	Alabama	0.099
1023	1	Choctaw	Alabama	0.127
1025	1	Clarke	Alabama	0.17
1027	1	Clay	Alabama	0.159
1029	1	Cleburne	Alabama	0.104
1031	1	Coffee	Alabama	0.085
1033	1	Colbert	Alabama	0.114
1035	1	Conecuh	Alabama	0.195
1037	1	Coosa	Alabama	0.14
1039	1	Covington	Alabama	0.101
1041	1	Crenshaw	Alabama	0.097
1043	1	Cullman	Alabama	0.096
1045	1	Dale	Alabama	0.093
1047	1	Dallas	Alabama	0.211
1049	1	DeKalb	Alabama	0.143
1051	1	Elmore	Alabama	0.09
1053	1	Escambia	Alabama	0.129
1055	1	Etowah	Alabama	0.107
1057	1	Fayette	Alabama	0.128
1059	1	Franklin	Alabama	0.123
1061	1	Geneva	Alabama	0.1
1063	1	Greene	Alabama	0.147
1065	1	Hale	Alabama	0.127
1067	1	Henry	Alabama	0.099
1069	1	Houston	Alabama	0.089
1071	1	Jackson	Alabama	0.118
1073	1	Jefferson	Alabama	0.107
1075	1	Lamar	Alabama	0.148
1077	1	Lauderdale	Alabama	0.105
1079	1	Lawrence	Alabama	0.136
1081	1	Lee	Alabama	0.086
1083	1	Limestone	Alabama	0.093
1085	1	Lowndes	Alabama	0.185
1087	1	Macon	Alabama	0.114
1089	1	Madison	Alabama	0.075
1091	1	Marengo	Alabama	0.148
1093	1	Marion	Alabama	0.152
1095	1	Marshall	Alabama	0.092
1097	1	Mobile	Alabama	0.111
1099	1	Monroe	Alabama	0.187
1101	1	Montgomery	Alabama	0.102
1103	1	Morgan	Alabama	0.104
1105	1	Perry	Alabama	0.198
1107	1	Pickens	Alabama	0.13
1109	1	Pike	Alabama	0.087
1111	1	Randolph	Alabama	0.151
1113	1	Russell	Alabama	0.126
1115	1	St. Clair	Alabama	0.107
1117	1	Shelby	Alabama	0.076
1119	1	Sumter	Alabama	0.139
1121	1	Talladega	Alabama	0.136
1123	1	Tallapoosa	Alabama	0.137
1125	1	Tuscaloosa	Alabama	0.09
1127	1	Walker	Alabama	0.119
1129	1	Washington	Alabama	0.151
1131	1	Wilcox	Alabama	0.256
1133	1	Winston	Alabama	0.175
2013	2	Aleutians East	Alaska	0.101
2016	2	Aleutians West	Alaska	0.084
2020	2	Anchorage	Alaska	0.07
2050	2	Bethel	Alaska	0.148
2060	2	Bristol Bay	Alaska	0.036
2068	2	Denali	Alaska	0.034
2070	2	Dillingham	Alaska	0.084
2090	2	Fairbanks North Star	Alaska	0.069
2100	2	Haines	Alaska	0.062
2110	2	Juneau	Alaska	0.057
2122	2	Kenai Peninsula	Alaska	0.097
2130	2	Ketchikan Gateway	Alaska	0.061
2150	2	Kodiak Island	Alaska	0.066
2164	2	Lake and Peninsula	Alaska	0.059
2170	2	Matanuska-Susitna	Alaska	0.088
2180	2	Nome	Alaska	0.121
2185	2	North Slope	Alaska	0.057
2188	2	Northwest Arctic	Alaska	0.132
2201	2	Prince of Wales-Outer Ketchikan	Alaska	0.136
2220	2	Sitka	Alaska	0.059
